Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
3,0,0.1,672,672 wavelengths,10.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,10.0
3,1,0.1,656,656 wavelengths,9.0,784.0,0.75,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,9.0
3,2,0.1,657,657 wavelengths,8.0,784.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,8.0
3,3,0.1,656,656 wavelengths,10.0,784.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,10.0
3,4,0.1,636,636 wavelengths,9.0,784.0,0.8,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.5,9.0
3,5,0.1,655,655 wavelengths,9.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,9.0
3,6,0.1,647,647 wavelengths,8.0,784.0,0.7,0.7368421052631579,0.6666666666666666,0.7,0.5,8.0
3,7,0.1,648,648 wavelengths,9.0,784.0,0.75,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,9.0
3,8,0.1,655,655 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,9,0.1,655,655 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,10,0.1,643,643 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,11,0.1,651,651 wavelengths,9.0,784.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,9.0
3,12,0.1,665,665 wavelengths,9.0,784.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,9.0
3,13,0.1,648,648 wavelengths,8.0,784.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,8.0
3,14,0.1,658,658 wavelengths,9.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,9.0
3,15,0.1,670,670 wavelengths,9.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,9.0
3,16,0.1,650,650 wavelengths,9.0,784.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,9.0
3,17,0.1,664,664 wavelengths,9.0,784.0,0.8,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.5,9.0
3,18,0.1,657,657 wavelengths,9.0,784.0,0.75,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,9.0
3,19,0.1,654,654 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,20,0.1,663,663 wavelengths,9.0,784.0,0.75,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,9.0
3,21,0.1,660,660 wavelengths,8.0,784.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,8.0
3,22,0.1,647,647 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,23,0.1,648,648 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,24,0.1,667,667 wavelengths,8.0,784.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,8.0
3,25,0.1,645,645 wavelengths,9.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,9.0
3,26,0.1,651,651 wavelengths,9.0,784.0,0.75,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,9.0
3,27,0.1,653,653 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,28,0.1,676,676 wavelengths,8.0,784.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,8.0
3,29,0.1,667,667 wavelengths,9.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,9.0
3,30,0.1,678,678 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,31,0.1,648,648 wavelengths,9.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,9.0
3,32,0.1,642,642 wavelengths,9.0,784.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,9.0
3,33,0.1,658,658 wavelengths,8.0,784.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
3,34,0.1,668,668 wavelengths,10.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,10.0
3,35,0.1,653,653 wavelengths,10.0,784.0,0.775,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.5,10.0
