Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
89,0,0.1,29,29 wavelengths,8.0,29.0,0.65,0.631578947368421,0.631578947368421,0.631578947368421,0.5,8.0
89,1,0.1,29,29 wavelengths,4.0,29.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,4.0
89,2,0.1,29,29 wavelengths,8.0,29.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
89,3,0.1,28,28 wavelengths,9.0,29.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,9.0
89,4,0.1,29,29 wavelengths,4.0,29.0,0.575,0.5263157894736842,0.5555555555555556,0.5405405405405406,0.5,4.0
89,5,0.1,29,29 wavelengths,4.0,29.0,0.65,0.6842105263157895,0.6190476190476191,0.65,0.5,4.0
89,6,0.1,29,29 wavelengths,5.0,29.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,5.0
89,7,0.1,29,29 wavelengths,3.0,29.0,0.65,0.5263157894736842,0.6666666666666666,0.5882352941176471,0.5,3.0
89,8,0.1,29,29 wavelengths,8.0,29.0,0.8,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.5,8.0
89,9,0.1,29,29 wavelengths,7.0,29.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,7.0
89,10,0.1,29,29 wavelengths,2.0,29.0,0.65,0.631578947368421,0.631578947368421,0.631578947368421,0.5,2.0
89,11,0.1,29,29 wavelengths,2.0,29.0,0.65,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5,2.0
89,12,0.1,29,29 wavelengths,7.0,29.0,0.675,0.631578947368421,0.6666666666666666,0.6486486486486487,0.5,7.0
89,13,0.1,29,29 wavelengths,4.0,29.0,0.6,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5,4.0
89,14,0.1,29,29 wavelengths,6.0,29.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,6.0
89,15,0.1,29,29 wavelengths,9.0,29.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,9.0
