PC1 - 71.90%,PC2 - 19.20%,PC3 - 4.30%,Date,Class,Stress_weight,Position
-3.6001960211931037,-1.315781227419363,-0.09164235328644914,17-May-2023,Healty,20,38
-5.53753121880123,0.40102956687300256,-0.9586835085666149,17-May-2023,Healty,20,39
-2.0651304159784902,-1.8428725290583374,0.3658776199821777,17-May-2023,Healty,20,40
-0.48339962125480795,1.4105276656266275,-0.7903114573495051,17-May-2023,Healty,20,42
-3.5030993355572217,1.4153468504137676,-0.31909319692502724,17-May-2023,Healty,20,43
-1.0071965175014441,1.642027418951621,-0.5157907663371506,17-May-2023,Healty,20,44
-4.953717153764531,2.5471773121255,-1.401691425403496,17-May-2023,Healty,20,45
-1.7551966039467837,-1.4778874152771853,-0.6157804621369966,17-May-2023,Healty,20,56
-2.35046322937219,-1.3018371067076377,-0.8578867986702282,17-May-2023,Healty,20,58
-4.154622737622122,-0.4427157312486173,-1.4494856918292738,17-May-2023,Healty,20,60
-2.867925717902256,1.582909723203814,-0.9008747774536474,17-May-2023,Healty,20,61
4.0967814037179435,0.09542710181368246,-1.008979066384556,17-May-2023,Healty,20,62
1.0155542916073501,0.7176707787478214,-0.1608271738098654,17-May-2023,Healty,20,63
-2.443989457434399,-0.9424422138515572,-1.8410538071827767,17-May-2023,Unhealty,20,47
-2.290943523843035,2.456822253212709,-0.3953102486383249,17-May-2023,Unhealty,20,48
-2.1404234667957263,2.701029045912749,-1.1909636858430586,17-May-2023,Unhealty,20,50
0.0001290324319051158,3.060361568059942,-2.570323856956049,17-May-2023,Unhealty,20,52
-0.790436740869945,0.47286492384844436,-1.156971983026064,17-May-2023,Unhealty,20,53
-3.1921753508800537,3.2413473156433787,-1.5069257242134753,17-May-2023,Unhealty,20,54
2.317118892076895,1.703097172913758,-0.701379494331925,17-May-2023,Unhealty,20,64
-1.6760626301875536,0.6858311972478667,-1.4399126773156556,17-May-2023,Unhealty,20,65
-2.4233670070485243,-0.01098498238456562,-0.006102266477812082,17-May-2023,Unhealty,20,67
-1.4062912575196114,1.7325671165062912,-1.4448851638098508,17-May-2023,Unhealty,20,69
-2.9929583963200233,-0.7445198943956223,-0.39945727139154447,17-May-2023,Unhealty,20,70
4.504406073924227,1.2943531997643682,-2.061670082902831,17-May-2023,Unhealty,20,71
-3.8909147177676116,2.3179224863986487,-0.5442492285345102,17-May-2023,Unhealty,20,72
-2.754938935258744,-0.1432872619741297,2.1086764716887063,19-Jul-2023,Healty,60,145
4.355264461847274,0.3533339434858963,0.8644642765127588,19-Jul-2023,Healty,60,147
-2.636673697759399,2.5977823598192353,2.421776491069207,19-Jul-2023,Healty,60,148
-3.208206224454562,-0.1120687972132432,0.9318644884188736,19-Jul-2023,Healty,60,149
0.8791480896665702,1.4026329899799006,0.9613962092227283,19-Jul-2023,Healty,60,151
-0.8382044806301341,0.945010032684433,1.1541723566683744,19-Jul-2023,Healty,60,152
-1.366049214409215,-0.057669936676007984,-1.2602820758061417,19-Jul-2023,Healty,60,153
5.012214410535127,-0.017587869608239614,1.0291304062890925,19-Jul-2023,Healty,60,163
-1.7194404866260191,-1.873364137474393,2.8288569553708327,19-Jul-2023,Healty,60,165
-3.526148766590744,0.9629215679420946,1.3678851665320921,19-Jul-2023,Healty,60,166
-0.08479563387178017,0.22068889638872377,1.453686771118276,19-Jul-2023,Healty,60,167
12.460681504796186,-1.02548999097548,1.5849512271219046,19-Jul-2023,Healty,60,171
0.9164487167121024,-0.5314140769038419,-0.5934281017148152,19-Jul-2023,Unhealty,60,154
-5.349066228946137,0.32773370939877106,1.8554173608156304,19-Jul-2023,Unhealty,60,156
2.4117797713869686,2.9099560702995593,0.6873964457931022,19-Jul-2023,Unhealty,60,159
0.7990526850447615,2.527826214270988,0.7382171045153286,19-Jul-2023,Unhealty,60,160
-3.9440718028207704,2.8716294382939007,1.0728544838044507,19-Jul-2023,Unhealty,60,162
-1.5656393557957224,1.971628181026441,2.6483826463770983,19-Jul-2023,Unhealty,60,172
1.8098835703440426,1.3616891773551467,0.933654624118012,19-Jul-2023,Unhealty,60,173
-1.9844358308972847,1.55092750049486,1.0650707269131223,19-Jul-2023,Unhealty,60,175
7.239097614628535,1.7803113658791816,-0.3583783314392757,19-Jul-2023,Unhealty,60,177
8.286983393799524,1.647875194286624,0.11165947644624119,19-Jul-2023,Unhealty,60,179
-3.9375804311637457,-1.4926062462743304,0.20713719010391035,20-Jun-2023,Healty,40,74
-3.0704560717311686,-3.045304258070991,0.1432937644496812,20-Jun-2023,Healty,40,75
-1.8855264371858378,0.38069046993998906,0.1368747709138208,20-Jun-2023,Healty,40,76
-3.119616019008224,-0.28309112750797033,0.010111939077399844,20-Jun-2023,Healty,40,77
-2.230198962849452,0.3389481082968133,-0.08657848769113584,20-Jun-2023,Healty,40,78
-3.879507072420922,-0.7096072912524087,1.1323041924489419,20-Jun-2023,Healty,40,79
0.6657441909696123,-2.0200066970153685,-0.48832300467728357,20-Jun-2023,Healty,40,81
-3.7612790600248096,-3.6324104655837046,1.0679137448922125,20-Jun-2023,Healty,40,93
-5.826002008420641,0.7221412691243311,-1.0756691356056514,20-Jun-2023,Healty,40,94
2.1170770469192033,0.8308230775371166,-0.7355111713553292,20-Jun-2023,Healty,40,96
-6.128454491908156,0.31010085101483714,-1.6179556745995376,20-Jun-2023,Healty,40,98
5.385153098059808,-2.9244333692776165,0.41535833391269367,20-Jun-2023,Healty,40,99
-0.060707788427663986,-0.7985165558852376,0.16248866119704464,20-Jun-2023,Unhealty,40,82
