Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
400,0,1.0,2101,2101 wavelengths,8.0,2101.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
400,1,0.9321393627296657,1050,1050 wavelengths,9.0,1958.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,9.0
400,2,0.8688837915500671,693,693 wavelengths,9.0,1826.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,9.0
400,3,0.8099207837416151,542,542 wavelengths,9.0,1702.0,0.75,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,9.0
400,4,0.7549590432184206,471,471 wavelengths,9.0,1586.0,0.75,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5,9.0
400,5,0.7037270414326167,398,398 wavelengths,10.0,1479.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,10.0
400,6,0.6559716759366322,357,357 wavelengths,6.0,1378.0,0.675,0.631578947368421,0.6666666666666666,0.6486486486486487,0.5,6.0
400,7,0.611457019976283,327,327 wavelengths,9.0,1285.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,9.0
400,8,0.569963156937273,307,307 wavelengths,6.0,1197.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,9,0.531285093886898,289,289 wavelengths,6.0,1116.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,10,0.4952317488435037,267,267 wavelengths,6.0,1040.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,6.0
400,11,0.46162500677048124,259,259 wavelengths,7.0,970.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,7.0
400,12,0.430298839631114,250,250 wavelengths,8.0,904.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,13,0.4010984861570612,241,241 wavelengths,10.0,843.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,10.0
400,14,0.37387968727827664,223,223 wavelengths,10.0,786.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,10.0
400,15,0.3485079734371394,218,218 wavelengths,10.0,732.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,10.0
400,16,0.3248580002659024,214,214 wavelengths,9.0,683.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,9.0
400,17,0.30281292934549175,199,199 wavelengths,9.0,636.0,0.675,0.6842105263157895,0.65,0.6666666666666666,0.5,9.0
400,18,0.28226385098640994,193,193 wavelengths,9.0,593.0,0.675,0.6842105263157895,0.65,0.6666666666666666,0.5,9.0
400,19,0.2631092461800935,191,191 wavelengths,9.0,553.0,0.675,0.6842105263157895,0.65,0.6666666666666666,0.5,9.0
400,20,0.24525448506259506,188,188 wavelengths,9.0,515.0,0.675,0.6842105263157895,0.65,0.6666666666666666,0.5,9.0
400,21,0.22861135941283964,184,184 wavelengths,9.0,480.0,0.675,0.6842105263157895,0.65,0.6666666666666666,0.5,9.0
400,22,0.2130976468758469,176,176 wavelengths,9.0,448.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,9.0
400,23,0.1986367047580432,171,171 wavelengths,9.0,417.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,9.0
400,24,0.1851570913878831,170,170 wavelengths,9.0,389.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,9.0
400,25,0.17259221317117984,170,170 wavelengths,9.0,363.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,9.0
400,26,0.16087999559748617,168,168 wavelengths,9.0,338.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,9.0
400,27,0.14996257657219217,160,160 wavelengths,7.0,315.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,7.0
400,28,0.13978602055930192,154,154 wavelengths,7.0,294.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,7.0
400,29,0.1303000521226636,154,154 wavelengths,7.0,274.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,7.0
400,30,0.12145780754926189,149,149 wavelengths,7.0,255.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,7.0
400,31,0.11321560332751132,143,143 wavelengths,8.0,238.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,32,0.10553272033676099,140,140 wavelengths,8.0,222.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,33,0.09837120268183644,140,140 wavelengths,8.0,207.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,34,0.09169567017879776,140,140 wavelengths,8.0,193.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,35,0.08547314356553418,138,138 wavelengths,8.0,180.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,36,0.07967288157367823,137,137 wavelengths,8.0,167.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,37,0.07426622905692455,137,137 wavelengths,8.0,156.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,38,0.06922647542545701,136,136 wavelengths,8.0,145.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,39,0.06452872268710637,132,132 wavelengths,8.0,136.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,40,0.06014976244331864,124,124 wavelengths,8.0,126.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,41,0.056067961232255825,118,118 wavelengths,8.0,118.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,8.0
400,42,0.05226315365258653,110,110 wavelengths,7.0,110.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,7.0
400,43,0.04871654273996461,102,102 wavelengths,8.0,102.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
400,44,0.04541060710402312,95,95 wavelengths,7.0,95.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,7.0
400,45,0.04232901436711135,89,89 wavelengths,8.0,89.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
400,46,0.039456540477134025,83,83 wavelengths,8.0,83.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
400,47,0.036778994495872956,77,77 wavelengths,8.0,77.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
400,48,0.034283148491220904,72,72 wavelengths,8.0,72.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
400,49,0.03195667218697315,67,67 wavelengths,8.0,67.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
400,50,0.029788072047325986,63,63 wavelengths,8.0,63.0,0.75,0.7894736842105263,0.7142857142857143,0.75,0.5,8.0
400,51,0.027766634495139806,58,58 wavelengths,6.0,58.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,6.0
400,52,0.025882372983447175,54,54 wavelengths,7.0,54.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,53,0.024125978658721958,51,51 wavelengths,7.0,51.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,54,0.022488774372170606,47,47 wavelengths,7.0,47.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,55,0.02096267181184634,44,44 wavelengths,7.0,44.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,56,0.019540131543805576,41,41 wavelengths,7.0,41.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,7.0
400,57,0.018214125764896772,38,38 wavelengths,7.0,38.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,58,0.016978103583168848,36,36 wavelengths,7.0,36.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,59,0.015825958654373265,33,33 wavelengths,7.0,33.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,60,0.014751999014673535,31,31 wavelengths,7.0,31.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,61,0.013750918960526447,29,29 wavelengths,7.0,29.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,7.0
400,62,0.01281777283681239,27,27 wavelengths,5.0,27.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,5.0
400,63,0.011947950603719922,25,25 wavelengths,5.0,25.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,5.0
400,64,0.011137155061677013,23,23 wavelengths,5.0,23.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,5.0
400,65,0.010381380621813076,22,22 wavelengths,5.0,22.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,5.0
400,66,0.00967689351707094,20,20 wavelengths,6.0,20.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,67,0.009020213356205342,19,19 wavelengths,6.0,19.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,68,0.008408095929538867,18,18 wavelengths,6.0,18.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,69,0.00783751718153025,16,16 wavelengths,6.0,16.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,70,0.0073056582709744135,15,15 wavelengths,6.0,15.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,71,0.006809891645026803,14,14 wavelengths,6.0,14.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,72,0.00634776805825336,13,13 wavelengths,6.0,13.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,73,0.00591700447257601,12,12 wavelengths,6.0,12.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,74,0.005515472778335585,12,12 wavelengths,6.0,12.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
400,75,0.005141189280750551,11,11 wavelengths,6.0,11.0,0.7,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5,6.0
