Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
250,0,1.0,2101,2101 wavelengths,8.0,2101.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
250,1,0.9321393627296657,1012,1012 wavelengths,9.0,1958.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,9.0
250,2,0.8688837915500671,720,720 wavelengths,8.0,1826.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
250,3,0.8099207837416151,577,577 wavelengths,8.0,1702.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
250,4,0.7549590432184206,507,507 wavelengths,9.0,1586.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,9.0
250,5,0.7037270414326167,455,455 wavelengths,9.0,1479.0,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5,9.0
250,6,0.6559716759366322,407,407 wavelengths,6.0,1378.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,7,0.611457019976283,380,380 wavelengths,6.0,1285.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,8,0.569963156937273,344,344 wavelengths,6.0,1197.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,9,0.531285093886898,324,324 wavelengths,6.0,1116.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,10,0.4952317488435037,304,304 wavelengths,6.0,1040.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,11,0.46162500677048124,295,295 wavelengths,6.0,970.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,12,0.430298839631114,289,289 wavelengths,6.0,904.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,13,0.4010984861570612,283,283 wavelengths,6.0,843.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,14,0.37387968727827664,277,277 wavelengths,6.0,786.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,15,0.3485079734371394,271,271 wavelengths,6.0,732.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,16,0.3248580002659024,262,262 wavelengths,6.0,683.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,17,0.30281292934549175,248,248 wavelengths,6.0,636.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,18,0.28226385098640994,239,239 wavelengths,6.0,593.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,19,0.2631092461800935,229,229 wavelengths,6.0,553.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,20,0.24525448506259506,225,225 wavelengths,6.0,515.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,21,0.22861135941283964,213,213 wavelengths,6.0,480.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,22,0.2130976468758469,211,211 wavelengths,6.0,448.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,23,0.1986367047580432,211,211 wavelengths,6.0,417.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,24,0.1851570913878831,205,205 wavelengths,6.0,389.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,25,0.17259221317117984,195,195 wavelengths,6.0,363.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,26,0.16087999559748617,193,193 wavelengths,6.0,338.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,27,0.14996257657219217,192,192 wavelengths,6.0,315.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,28,0.13978602055930192,191,191 wavelengths,6.0,294.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,29,0.1303000521226636,185,185 wavelengths,6.0,274.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,30,0.12145780754926189,182,182 wavelengths,6.0,255.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,31,0.11321560332751132,181,181 wavelengths,6.0,238.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,32,0.10553272033676099,180,180 wavelengths,6.0,222.0,0.8,0.8421052631578947,0.7619047619047619,0.8,0.5,6.0
250,33,0.09837120268183644,175,175 wavelengths,6.0,207.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,34,0.09169567017879776,174,174 wavelengths,6.0,193.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,35,0.08547314356553418,168,168 wavelengths,6.0,180.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,36,0.07967288157367823,167,167 wavelengths,6.0,167.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,37,0.07426622905692455,156,156 wavelengths,6.0,156.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,38,0.06922647542545701,145,145 wavelengths,5.0,145.0,0.75,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.5,5.0
250,39,0.06452872268710637,136,136 wavelengths,6.0,136.0,0.75,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.5,6.0
250,40,0.06014976244331864,126,126 wavelengths,6.0,126.0,0.75,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.5,6.0
250,41,0.056067961232255825,118,118 wavelengths,6.0,118.0,0.775,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.5,6.0
250,42,0.05226315365258653,110,110 wavelengths,8.0,110.0,0.75,0.7894736842105263,0.7142857142857143,0.75,0.5,8.0
250,43,0.04871654273996461,102,102 wavelengths,6.0,102.0,0.725,0.7894736842105263,0.6818181818181818,0.7317073170731707,0.5,6.0
250,44,0.04541060710402312,95,95 wavelengths,6.0,95.0,0.725,0.7894736842105263,0.6818181818181818,0.7317073170731707,0.5,6.0
250,45,0.04232901436711135,89,89 wavelengths,5.0,89.0,0.75,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.5,5.0
250,46,0.039456540477134025,83,83 wavelengths,8.0,83.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
250,47,0.036778994495872956,77,77 wavelengths,8.0,77.0,0.775,0.7894736842105263,0.75,0.7692307692307693,0.5,8.0
250,48,0.034283148491220904,72,72 wavelengths,9.0,72.0,0.8,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.5,9.0
250,49,0.03195667218697315,67,67 wavelengths,9.0,67.0,0.8,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.5,9.0
250,50,0.029788072047325986,63,63 wavelengths,9.0,63.0,0.8,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.5,9.0
250,51,0.027766634495139806,58,58 wavelengths,8.0,58.0,0.8,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.5,8.0
250,52,0.025882372983447175,54,54 wavelengths,8.0,54.0,0.725,0.7368421052631579,0.7,0.717948717948718,0.5,8.0
