Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,LV,Max Variables,accuracy,recall,precision,f1,cutoff,nLV
52,31,0.1,7,406.000 - 1013.000 - 1014.000 - 1086.000 - 1676.000 - 2080.000 - 2444.000,3.0,7.0,0.65,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.5,3.0
52,32,0.1,7,532.000 - 1006.000 - 1415.000 - 1647.000 - 1861.000 - 1973.000 - 2209.000,6.0,7.0,0.675,0.631578947368421,0.6666666666666666,0.6486486486486487,0.5,6.0
52,33,0.1,7,661.000 - 991.000 - 1352.000 - 1639.000 - 1875.000 - 2085.000 - 2358.000,2.0,7.0,0.675,0.631578947368421,0.6666666666666666,0.6486486486486487,0.5,2.0
52,34,0.1,7,409.000 - 543.000 - 1262.000 - 1459.000 - 2085.000 - 2249.000 - 2261.000,6.0,7.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,6.0
52,35,0.1,7,531.000 - 540.000 - 1078.000 - 1966.000 - 2254.000 - 2260.000 - 2451.000,3.0,7.0,0.525,0.5263157894736842,0.5,0.5128205128205128,0.5,3.0
52,36,0.1,7,536.000 - 671.000 - 993.000 - 1642.000 - 1889.000 - 2084.000 - 2267.000,3.0,7.0,0.625,0.631578947368421,0.6,0.6153846153846154,0.5,3.0
52,37,0.1,7,411.000 - 960.000 - 1005.000 - 1347.000 - 1868.000 - 1885.000 - 2217.000,4.0,7.0,0.675,0.631578947368421,0.6666666666666666,0.6486486486486487,0.5,4.0
52,38,0.1,7,425.000 - 530.000 - 1233.000 - 1268.000 - 1600.000 - 1645.000 - 1670.000,7.0,7.0,0.625,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.5,7.0
52,39,0.1,7,415.000 - 538.000 - 793.000 - 993.000 - 1220.000 - 1611.000 - 2209.000,2.0,7.0,0.625,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.5,2.0
52,40,0.1,7,661.000 - 666.000 - 1185.000 - 1408.000 - 1653.000 - 2097.000 - 2361.000,6.0,7.0,0.725,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.5,6.0
52,41,0.1,7,666.000 - 956.000 - 961.000 - 1363.000 - 1421.000 - 1426.000 - 1606.000,2.0,7.0,0.675,0.5789473684210527,0.6875,0.6285714285714286,0.5,2.0
52,42,0.1,7,966.000 - 1092.000 - 1177.000 - 1413.000 - 1669.000 - 2222.000 - 2453.000,2.0,7.0,0.625,0.47368421052631576,0.6428571428571429,0.5454545454545454,0.5,2.0
52,43,0.1,7,546.000 - 789.000 - 997.000 - 1182.000 - 1861.000 - 2259.000 - 2439.000,5.0,7.0,0.625,0.5263157894736842,0.625,0.5714285714285714,0.5,5.0
